"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\p\OneDrive\桌面\git\sing-box-conveter\server\controller\clash2singboxRouter.js", "JavaScript", 11, 0, 1, 12
"Total", "-", 11, 0, 1, 12
